step	volume	average_movement_acceptance	average_volume_acceptance
51500	193.931047	0.270291	0.100000
51600	194.146259	0.290930	0.100000
51700	193.950807	0.291512	0.040000
51800	193.978754	0.290116	0.070000
51900	194.010575	0.284360	0.030000
52000	193.933975	0.294419	0.040000
52100	193.905308	0.297326	0.100000
52200	194.332107	0.305000	0.080000
52300	193.971896	0.284419	0.050000
52400	193.563185	0.294070	0.060000
52500	193.356456	0.286047	0.080000
52600	193.675990	0.294593	0.090000
52700	193.908684	0.285116	0.040000
52800	193.577081	0.286047	0.030000
52900	192.853003	0.271047	0.060000
53000	192.769674	0.260465	0.030000
53100	192.665691	0.266337	0.100000
53200	192.825141	0.266221	0.050000
53300	192.700627	0.267500	0.040000
53400	192.615279	0.263140	0.080000
53500	192.074888	0.264419	0.120000
53600	191.924775	0.268140	0.100000
53700	190.667314	0.246570	0.080000
53800	189.217652	0.252733	0.100000
53900	189.052063	0.250058	0.040000
54000	189.482918	0.259709	0.080000
54100	188.541194	0.263721	0.030000
54200	188.527124	0.250000	0.050000
54300	188.729514	0.251221	0.050000
54400	189.192106	0.255581	0.050000
54500	189.295869	0.249942	0.070000
54600	189.666332	0.263430	0.020000
54700	190.018491	0.266919	0.100000
54800	190.268755	0.276337	0.040000
54900	189.988795	0.275407	0.100000
55000	189.769454	0.258140	0.080000
55100	189.900285	0.259419	0.060000
55200	190.040109	0.258372	0.070000
55300	190.122232	0.255756	0.070000
55400	189.827256	0.254767	0.040000
55500	189.693182	0.269884	0.010000
55600	189.663859	0.263198	0.050000
55700	189.809103	0.253023	0.050000
55800	189.792167	0.265581	0.060000
55900	189.715393	0.250523	0.110000
56000	189.799986	0.235116	0.040000
56100	190.127121	0.226512	0.050000
56200	190.123113	0.240174	0.030000
56300	189.832355	0.241919	0.020000
56400	189.856998	0.242849	0.080000
56500	190.088414	0.253663	0.080000
56600	189.946793	0.250407	0.040000
56700	189.874953	0.252558	0.070000
56800	189.976774	0.252384	0.060000
56900	189.972127	0.244419	0.050000
57000	189.678175	0.237500	0.030000
57100	189.500327	0.252558	0.050000
57200	189.237894	0.254826	0.050000
57300	189.492649	0.257616	0.060000
57400	189.459925	0.265233	0.010000
57500	189.141741	0.251686	0.040000
57600	189.321192	0.266453	0.100000
57700	189.857122	0.264360	0.030000
57800	189.897990	0.266512	0.030000
57900	190.155512	0.281570	0.030000
58000	190.022347	0.283023	0.080000
58100	189.710974	0.264709	0.080000
58200	189.787579	0.266163	0.020000
58300	190.083256	0.281221	0.050000
58400	189.984246	0.275698	0.050000
58500	190.251582	0.268721	0.050000
58600	190.663649	0.282616	0.050000
58700	190.617098	0.264535	0.080000
58800	190.558350	0.282500	0.050000
58900	190.335178	0.277442	0.050000
59000	190.440424	0.285930	0.070000
59100	190.044186	0.273198	0.050000
59200	189.317977	0.275581	0.110000
59300	189.053539	0.271512	0.060000
59400	189.244978	0.263663	0.030000
59500	189.264797	0.247326	0.080000
59600	189.393525	0.256279	0.030000
59700	189.463826	0.262674	0.060000
59800	189.302228	0.256744	0.040000
59900	189.321938	0.265407	0.050000
60000	189.312666	0.249128	0.040000
60100	188.765463	0.254942	0.100000
60200	188.804720	0.267616	0.030000
60300	188.543679	0.263953	0.070000
60400	188.189371	0.254884	0.080000
60500	188.187632	0.233430	0.050000
60600	188.343708	0.235581	0.060000
60700	188.077647	0.241337	0.060000
60800	188.115405	0.254186	0.040000
60900	188.116450	0.253314	0.110000
61000	188.114764	0.241919	0.050000
61100	188.009352	0.257384	0.080000
61200	188.351548	0.248779	0.030000
61300	188.217459	0.259884	0.040000
61400	188.258640	0.252151	0.040000
61500	188.010472	0.229535	0.100000
61600	188.046709	0.241570	0.020000
61700	188.406772	0.249419	0.070000
61800	188.618120	0.256395	0.030000
61900	188.437700	0.252616	0.050000
62000	188.389294	0.266570	0.070000
62100	187.987679	0.239419	0.040000
62200	187.549914	0.236337	0.030000
62300	187.601411	0.242093	0.050000
62400	187.741100	0.246919	0.080000
62500	187.935208	0.242965	0.060000
62600	188.538351	0.250116	0.070000
